@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-weka.filters.unsupervised.attribute.Remove-R28-29'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}
@attribute score numeric
@attribute score1 numeric

@data
10,6,20,9,1,1,0,1,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,44,North,2963,3062
10,7,20,9,0,1,1,1,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,43,East,3062,3161
11,7,20,9,0,0,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,42,East,3161,3260
12,7,20,9,0,0,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,41,East,3260,3359
13,7,20,9,0,1,0,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,40,South,3358,3457
13,6,20,9,1,1,0,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,39,South,3457,3556
13,5,20,9,1,1,1,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,38,East,3556,3655
14,5,20,9,0,0,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,37,East,3655,3754
15,5,20,9,1,0,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,36,East,3754,3853
16,5,20,9,0,1,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,35,South,3853,3952
16,4,20,9,1,1,0,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,34,South,3952,4051
16,3,20,9,1,0,0,1,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,33,West,4051,4150
15,3,20,9,0,1,1,0,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,32,South,4150,4249
15,2,20,9,1,1,0,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,31,South,4249,4348
15,1,20,9,1,0,1,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,30,East,4347,4446
16,1,20,9,0,0,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,29,East,4446,4545
17,1,20,9,0,0,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,28,East,4545,4644
18,1,20,9,1,0,0,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,27,North,4644,4743
18,2,20,9,1,1,0,0,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,26,North,4743,4842
18,3,20,9,1,1,0,0,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,25,North,4842,4941
18,4,20,9,1,1,0,0,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,24,North,4941,5040
18,5,20,9,1,1,0,1,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,23,West,5040,5139
17,5,20,9,0,0,1,1,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,22,West,5139,5138
16,5,20,9,0,1,1,1,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,22,West,5138,5137
15,5,20,9,1,0,1,1,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,22,North,5137,5236
1,18,30,20,0,1,1,0,1,Stop,4,5,10,11,4,18,6,25,7,North,North,East,West,0,South,-2,-3
1,17,30,20,1,1,0,0,1,South,4,5,9,11,3,19,6,24,7,South,South,East,East,0,South,-3,-4
1,16,30,20,1,1,1,0,1,South,4,4,9,11,3,19,5,25,7,West,South,South,North,0,South,-4,-5
1,15,30,20,1,1,1,0,1,South,4,5,9,11,4,19,6,25,8,East,North,North,North,0,South,-5,-6
1,14,30,20,1,1,1,0,1,South,4,5,10,10,4,19,6,25,9,North,West,North,West,0,South,-6,-7
1,13,30,20,1,1,0,0,1,South,4,6,10,10,3,20,6,24,9,East,South,East,North,0,South,-7,-8
1,12,30,20,1,1,1,0,1,South,4,5,10,9,3,19,6,24,10,West,West,West,South,0,South,-8,-9
