@RELATION training_keyboard

    @ATTRIBUTE pacman_positionX NUMERIC
    @ATTRIBUTE pacman_positionY NUMERIC
    @ATTRIBUTE width_map NUMERIC
    @ATTRIBUTE height_map NUMERIC
    @ATTRIBUTE legal_North {0, 1}
    @ATTRIBUTE legal_South {0, 1}
    @ATTRIBUTE legal_East {0, 1}
    @ATTRIBUTE legal_West {0, 1}
    @ATTRIBUTE legal_Stop {0, 1}
    @ATTRIBUTE pacman_direction {North, South, East, West, Stop}
    @ATTRIBUTE n_ghosts NUMERIC
    @ATTRIBUTE living_ghosts NUMERIC
    @ATTRIBUTE ghost1_positionX NUMERIC
    @ATTRIBUTE ghost1_positionY NUMERIC
    @ATTRIBUTE ghost2_positionX NUMERIC
    @ATTRIBUTE ghost2_positionY NUMERIC
    @ATTRIBUTE ghost3_positionX NUMERIC
    @ATTRIBUTE ghost3_positionY NUMERIC
    @ATTRIBUTE ghost4_positionX NUMERIC
    @ATTRIBUTE ghost4_positionY NUMERIC
    @ATTRIBUTE ghost1_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost2_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost3_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost4_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost1_distance NUMERIC
    @ATTRIBUTE ghost2_distance NUMERIC
    @ATTRIBUTE ghost3_distance NUMERIC
    @ATTRIBUTE ghost4_distance NUMERIC
    @ATTRIBUTE n_food NUMERIC
    @ATTRIBUTE closest_foo NUMERIC
    @ATTRIBUTE next_step {North, South, East, West, Stop}
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE score1 NUMERIC
    @ATTRIBUTE score2 NUMERIC
    @ATTRIBUTE score3 NUMERIC


    @data
16, 5, 28, 29, 0, 0, 1, 1, 1, East, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 16, 13, 12, 11, 0, -1, East, -7, -8, -9, -10
17, 5, 28, 29, 0, 0, 1, 1, 1, East, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 17, 14, 13, 10, 0, -1, East, -8, -9, -10, -11
18, 5, 28, 29, 1, 0, 0, 1, 1, East, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 18, 15, 14, 11, 0, -1, North, -9, -10, -11, -12
18, 6, 28, 29, 1, 1, 0, 0, 1, North, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 17, 14, 13, 10, 0, -1, North, -10, -11, -12, -13
18, 7, 28, 29, 1, 1, 0, 0, 1, North, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 16, 13, 12, 9, 0, -1, North, -11, -12, -13, -14
18, 8, 28, 29, 0, 1, 1, 1, 1, North, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 15, 12, 11, 8, 0, -1, West, -12, -13, -14, -15
17, 8, 28, 29, 0, 0, 1, 1, 1, West, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 14, 11, 10, 7, 0, -1, West, -13, -14, -15, -16
16, 8, 28, 29, 0, 0, 1, 1, 1, West, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 13, 10, 9, 8, 0, -1, West, -14, -15, -16, -17
15, 8, 28, 29, 1, 0, 1, 1, 1, West, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 12, 9, 8, 9, 0, -1, North, -15, -16, -17, -18
15, 9, 28, 29, 1, 1, 0, 0, 1, North, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 11, 8, 7, 8, 0, -1, North, -16, -17, -18, -19
